scenario,frame,robot_r,robot_c,goal_r,goal_c,force_r,force_c,dr,dc,time_ms,success,action,pedestrians_count,max_occupancy,coverage
BR-06,96,1,7,1,7,0.0,-1.0,0,-1,0.0192999723367393,True,ADVANCE,9,1441.9177913467624,6.078824315297261
BR-06,97,1,6,1,6,-6.594763128582525,-7.517253439780279,0,-1,0.02629996743053198,True,ADVANCE,8,1800.7374029168082,6.145624582498329
BR-06,98,1,5,1,5,0.0,-1.0,0,-1,0.018200022168457508,True,ADVANCE,7,1000.0,6.212424849699398
BR-06,99,1,4,1,4,0.0,-1.0,0,-1,0.01829996472224593,True,ADVANCE,8,1211.8496934239954,6.279225116900468
BR-06,100,1,3,1,3,0.0,-1.0,0,-1,0.019200029782950878,True,ADVANCE,9,1800.7374029168082,6.346025384101536
BR-06,101,1,2,1,2,0.0,-1.0,0,-1,0.018200022168457508,True,ADVANCE,5,1000.0,6.4128256513026045
BR-06,102,1,1,1,0,6.15714384947473,-7.87969413219038,0,-1,0.026300025638192892,True,ADVANCE,9,1800.7374029168082,6.479625918503674
BR-06,103,1,0,1,0,0.0,-1.0,0,-1,0.020400038920342922,True,ADVANCE,12,1441.9177913467624,6.5464261857047426
BR-06,104,2,0,2,0,1.0,0.0,1,0,0.017900019884109497,True,ADVANCE,9,1441.9177913467624,6.613226452905812
BR-06,105,2,1,2,1,0.0,1.0,0,1,0.018899969290941954,True,ADVANCE,9,1441.9177913467624,6.6800267201068815
BR-06,106,3,1,3,1,1.0,0.0,1,0,0.018200022168457508,True,ADVANCE,11,1129.9303907247136,6.74682698730795
BR-06,107,3,0,3,0,0.0,-1.0,0,-1,0.020199979189783335,True,ADVANCE,6,1129.9303907247136,6.813627254509018
BR-06,108,4,0,4,0,1.0,0.0,1,0,0.018200022168457508,True,ADVANCE,10,1230.1653323127296,6.880427521710086
BR-06,109,4,1,4,1,0.0,1.0,0,1,0.018600025214254856,True,ADVANCE,7,1028.5655007845503,6.947227788911156
BR-06,110,4,2,4,2,0.0,1.0,0,1,0.024900014977902174,True,ADVANCE,13,1641.1803884299545,7.014028056112225
BR-06,111,3,2,3,2,-1.0,0.0,-1,0,0.02139998832717538,True,ADVANCE,10,1000.0,7.080828323313293
BR-06,112,3,3,3,3,0.0,1.0,0,1,0.020499981474131346,True,ADVANCE,3,1000.0,7.147628590514363
BR-06,113,2,3,2,3,-1.0,0.0,-1,0,0.021200045011937618,True,ADVANCE,6,1000.0,7.214428857715431
BR-06,114,2,4,2,4,0.0,1.0,0,1,0.023200002033263445,True,ADVANCE,9,1000.0,7.2812291249165
BR-06,115,2,5,2,5,0.0,1.0,0,1,0.019600032828748226,True,ADVANCE,6,1441.9177913467624,7.348029392117568
BR-06,116,2,6,2,6,0.0,1.0,0,1,0.01910002902150154,True,ADVANCE,5,1000.0,7.414829659318638
BR-06,117,2,7,2,7,0.0,1.0,0,1,0.019200029782950878,True,ADVANCE,6,1011.7436284570214,7.481629926519706
BR-06,118,2,8,2,8,0.0,1.0,0,1,0.021599989850074053,True,ADVANCE,4,1000.0,7.548430193720774
BR-06,119,2,9,2,9,0.0,1.0,0,1,0.019199971575289965,True,ADVANCE,14,1601.474805833616,7.615230460921844
BR-06,120,2,10,2,10,0.0,1.0,0,1,0.019900035113096237,True,ADVANCE,9,1810.1937038360206,7.682030728122912
BR-06,121,2,11,2,11,0.0,1.0,0,1,0.02139998832717538,True,ADVANCE,7,1000.0,7.748830995323981
BR-06,122,3,11,3,11,1.0,0.0,1,0,0.020199979189783335,True,ADVANCE,4,1000.0,7.8156312625250495
BR-06,123,3,11,3,10,-2.6645352591003757e-15,-1.0,0,0,0.061700004152953625,False,WAIT,6,1000.0,7.8156312625250495
BR-06,124,3,10,3,10,0.0,-1.0,0,-1,0.021000043489038944,True,ADVANCE,7,1028.5655007845503,7.882431529726119
BR-06,125,3,9,3,9,0.0,-1.0,0,-1,0.021299987565726042,True,ADVANCE,14,2028.5655007845503,7.9492317969271875
BR-06,126,3,8,3,8,0.0,-1.0,0,-1,0.019899976905435324,True,ADVANCE,7,1022.8734649112389,8.016032064128256
BR-06,127,4,8,3,7,7.148869802242072,6.148869802242072,1,0,0.026500027161091566,True,ADVANCE,5,1000.0,8.082832331329326
BR-06,128,4,7,4,7,0.0,-1.0,0,-1,0.02039998071268201,True,ADVANCE,7,1055.6379982778428,8.149632598530394
BR-06,129,3,7,3,7,-1.0,0.0,-1,0,0.021499989088624716,True,ADVANCE,9,1129.9303907247136,8.216432865731463
BR-06,130,3,6,3,6,0.0,-1.0,0,-1,0.020099978428333998,True,ADVANCE,17,1441.9177913467624,8.283233132932532
BR-06,131,4,6,4,6,1.0,0.0,1,0,0.01999997766688466,True,ADVANCE,6,1441.9177913467624,8.3500334001336
BR-06,132,4,5,4,5,0.0,-1.0,0,-1,0.02069998299703002,True,ADVANCE,5,1000.0,8.41683366733467
BR-06,133,4,4,4,4,0.0,-1.0,0,-1,0.019899976905435324,True,ADVANCE,9,1641.1803884299545,8.483633934535737
BR-06,134,4,3,3,4,6.148869802242072,-7.148869802242072,0,-1,0.02640002639964223,True,ADVANCE,9,1823.610867828047,8.550434201736808
BR-06,135,5,3,5,3,1.0,0.0,1,0,0.021599989850074053,True,ADVANCE,9,1800.7374029168082,8.617234468937877
BR-06,136,5,2,5,2,0.0,-1.0,0,-1,0.020900042727589607,True,ADVANCE,5,1000.0,8.684034736138944
BR-06,137,5,1,5,1,0.0,-1.0,0,-1,0.01950003206729889,True,ADVANCE,10,1000.0,8.750835003340013
BR-06,138,5,0,5,0,0.0,-1.0,0,-1,0.019000028260052204,True,ADVANCE,5,1000.0,8.817635270541082
BR-06,139,6,0,6,0,1.0,0.0,1,0,0.01880002673715353,True,ADVANCE,10,1000.0,8.884435537742151
BR-06,140,6,1,6,1,0.0,1.0,0,1,0.0192999723367393,True,ADVANCE,5,1000.0,8.95123580494322
BR-06,141,6,0,6,2,-7.050756427137004,7.091321019752684,0,-1,0.05019997479394078,True,ADVANCE,16,1601.474805833616,8.95123580494322
BR-06,142,7,0,7,0,7.517253439780279,6.594763128582525,1,0,0.06940000457689166,True,ADVANCE,15,1800.7374029168082,9.01803607214429
BR-06,143,6,0,7,1,9.989028339052318,0.46830848979028983,-1,0,0.05039997631683946,True,ADVANCE,14,1211.8496934239954,9.01803607214429
BR-06,144,6,1,6,2,0.0,2.0,0,1,0.022799998987466097,True,ADVANCE,8,1441.9177913467624,9.01803607214429
BR-06,145,6,2,6,2,0.0,1.0,0,1,0.02239999594166875,True,ADVANCE,9,1441.9177913467624,9.084836339345358
BR-06,146,6,3,6,3,0.0,1.0,0,1,0.02080004196614027,True,ADVANCE,9,1022.8734649112389,9.151636606546425
BR-06,147,6,4,6,4,0.0,1.0,0,1,0.022199994418770075,True,ADVANCE,6,1055.6379982778428,9.218436873747494
BR-06,148,5,4,5,4,-1.0,0.0,-1,0,0.02099998528137803,True,ADVANCE,10,1601.474805833616,9.285237140948563
BR-06,149,5,4,5,5,-2.6645352591003757e-15,1.0,0,0,0.058999983593821526,False,WAIT,13,1441.9177913467624,9.285237140948563
BR-06,150,5,5,5,5,0.0,1.0,0,1,0.0219999928958714,True,ADVANCE,9,1011.7436284570214,9.352037408149632
BR-06,151,5,6,5,6,0.0,1.0,0,1,0.020900042727589607,True,ADVANCE,10,1000.0,9.418837675350701
BR-06,152,5,7,5,7,0.0,1.0,0,1,0.0219999928958714,True,ADVANCE,12,1022.8734649112389,9.48563794255177
BR-06,153,5,8,5,8,0.0,1.0,0,1,0.020599982235580683,True,ADVANCE,7,1000.0,9.55243820975284
BR-06,154,6,8,5,9,-9.99984732295925,0.055258641900970414,1,0,0.055800017435103655,True,ADVANCE,6,1011.7436284570214,9.619238476953909
BR-06,155,6,7,6,7,0.0,-1.0,0,-1,0.022599997464567423,True,ADVANCE,6,1000.0,9.686038744154976
BR-06,156,6,6,6,6,0.0,-1.0,0,-1,0.021199986804276705,True,ADVANCE,9,1211.8496934239954,9.752839011356047
BR-06,157,6,5,6,5,0.0,-1.0,0,-1,0.02220005262643099,True,ADVANCE,10,1441.9177913467624,9.819639278557114
BR-06,158,7,5,7,5,1.0,0.0,1,0,0.02039998071268201,True,ADVANCE,8,1441.9177913467624,9.886439545758183
BR-06,159,7,4,7,4,0.0,-1.0,0,-1,0.020000035874545574,True,ADVANCE,5,1000.0,9.953239812959252
