scenario,frame,robot_r,robot_c,goal_r,goal_c,nodes_expanded,max_queue_size,time_ms,path_cost,path_length,success,action,pedestrians_count,max_occupancy,coverage,replan_triggered,cells_changed,km_value
BR-06,110,4,1,4,1,2,3,0.06829999620094895,1.0,1,True,ADVANCE,13,1641.1803884299545,6.880427521710086,True,783,0.0
BR-06,111,4,2,4,2,2,3,0.07160002132877707,1.0,1,True,ADVANCE,10,1000.0,6.947227788911156,True,957,0.0
BR-06,112,3,2,3,2,2,3,0.07150002056732774,1.0,1,True,ADVANCE,3,1000.0,7.014028056112225,True,622,0.0
BR-06,113,3,3,3,3,2,3,0.06439996650442481,1.0,1,True,ADVANCE,6,1000.0,7.080828323313293,True,485,0.0
BR-06,114,2,3,2,3,2,3,0.07349997758865356,1.0,1,True,ADVANCE,9,1000.0,7.147628590514363,True,768,0.0
BR-06,115,2,4,2,4,2,3,0.09119999594986439,1.0,1,True,ADVANCE,6,1441.9177913467624,7.214428857715431,True,715,0.0
BR-06,116,2,5,2,5,2,3,0.06910000229254365,1.0,1,True,ADVANCE,5,1000.0,7.2812291249165,True,546,0.0
BR-06,117,2,6,2,6,2,3,0.06280001252889633,1.0,1,True,ADVANCE,6,1011.7436284570214,7.348029392117568,True,540,0.0
BR-06,118,2,7,2,7,2,3,0.07130001904442906,1.0,1,True,ADVANCE,4,1000.0,7.414829659318638,True,555,0.0
BR-06,119,2,8,2,8,2,3,0.07310003275051713,1.0,1,True,ADVANCE,14,1601.474805833616,7.481629926519706,True,837,0.0
BR-06,120,2,9,2,9,2,3,0.06419996498152614,1.0,1,True,ADVANCE,9,1810.1937038360206,7.548430193720774,True,870,0.0
BR-06,121,2,10,2,10,2,3,0.07860001642256975,1.0,1,True,ADVANCE,7,1000.0,7.615230460921844,True,742,0.0
BR-06,122,2,11,2,11,2,3,0.06630003917962313,1.0,1,True,ADVANCE,4,1000.0,7.682030728122912,True,531,0.0
BR-06,123,2,11,3,11,1,1,0.045599997974932194,-1.0,0,False,WAIT,6,1000.0,7.682030728122912,True,525,0.0
BR-06,124,3,11,3,11,1,4,13.875600008759648,1.0,1,True,ADVANCE,7,1028.5655007845503,7.748830995323981,True,730,0.0
BR-06,125,3,10,3,10,2,3,0.32619998091831803,1.0,1,True,ADVANCE,14,2028.5655007845503,7.8156312625250495,True,847,0.0
BR-06,126,3,9,3,9,2,3,0.08299999171867967,1.0,1,True,ADVANCE,7,1022.8734649112389,7.882431529726119,True,835,0.0
BR-06,127,3,8,3,8,2,3,0.08610001532360911,1.0,1,True,ADVANCE,5,1000.0,7.9492317969271875,True,559,0.0
BR-06,128,3,7,3,7,2,3,0.07240002742037177,1.0,1,True,ADVANCE,7,1055.6379982778428,8.016032064128256,True,693,0.0
BR-06,129,3,6,3,6,2,3,0.06600003689527512,1.0,1,True,ADVANCE,9,1129.9303907247136,8.082832331329326,True,742,0.0
BR-06,130,4,6,4,6,2,3,0.06829999620094895,1.0,1,True,ADVANCE,17,1441.9177913467624,8.149632598530394,True,1027,0.0
BR-06,131,4,5,4,5,2,3,0.06710004527121782,1.0,1,True,ADVANCE,6,1441.9177913467624,8.216432865731463,True,797,0.0
BR-06,132,4,4,4,4,2,3,0.06400002166628838,1.0,1,True,ADVANCE,5,1000.0,8.283233132932532,True,493,0.0
BR-06,133,3,4,3,4,2,3,0.06590003613382578,1.0,1,True,ADVANCE,9,1641.1803884299545,8.3500334001336,True,724,0.0
BR-06,134,3,3,4,3,4,6,0.10159995872527361,2.0,2,True,ADVANCE,9,1823.610867828047,8.3500334001336,True,775,0.0
BR-06,135,4,3,4,3,0,8,14.412399963475764,1.0,1,True,ADVANCE,9,1800.7374029168082,8.41683366733467,True,773,1.0
BR-06,136,5,3,5,3,2,3,0.28550002025440335,1.0,1,True,ADVANCE,5,1000.0,8.483633934535737,True,664,0.0
