scenario,frame,robot_r,robot_c,goal_r,goal_c,force_r,force_c,dr,dc,time_ms,success,action,pedestrians_count,max_occupancy,coverage,is_in_corridor,fallback_triggered
BR-06,139,7,1,7,1,0.0,-3.0,0,-1,0.020300038158893585,True,ADVANCE,10,1000.0,8.617234468937877,False,False
BR-06,140,7,0,7,0,0.0,-3.0,0,-1,0.01850002445280552,True,ADVANCE,5,1000.0,8.684034736138944,False,False
BR-06,141,8,0,8,0,3.0,0.0,1,0,0.019599974621087313,True,ADVANCE,16,1601.474805833616,8.750835003340013,False,False
BR-06,142,7,0,8,1,0.0,3.0,-1,0,0.03029999788850546,True,ADVANCE,15,1800.7374029168082,8.750835003340013,True,True
BR-06,143,7,1,8,1,3.0,3.0,0,1,0.02670002868399024,True,ADVANCE,14,1211.8496934239954,8.750835003340013,False,True
BR-06,144,8,1,8,1,3.0,0.0,1,0,0.020799983758479357,True,ADVANCE,8,1441.9177913467624,8.817635270541082,False,False
BR-06,145,8,2,8,2,0.0,3.0,0,1,0.02050003968179226,True,ADVANCE,9,1441.9177913467624,8.884435537742151,False,False
BR-06,146,8,3,8,3,0.0,3.0,0,1,0.01969997538253665,True,ADVANCE,9,1022.8734649112389,8.95123580494322,False,False
BR-06,147,9,3,9,3,3.0,0.0,1,0,0.019300030544400215,True,ADVANCE,6,1055.6379982778428,9.01803607214429,False,False
BR-06,148,9,2,9,2,0.0,-3.0,0,-1,0.019499973859637976,True,ADVANCE,10,1601.474805833616,9.084836339345358,False,False
BR-06,149,9,1,9,1,0.0,-3.0,0,-1,0.034100026823580265,True,ADVANCE,13,1441.9177913467624,9.151636606546425,False,False
BR-06,150,9,0,9,0,0.0,-3.0,0,-1,0.030700000934302807,True,ADVANCE,9,1011.7436284570214,9.218436873747494,False,False
BR-06,151,10,0,10,0,3.0,0.0,1,0,0.018900027498602867,True,ADVANCE,10,1000.0,9.285237140948563,False,False
BR-06,152,10,1,10,1,0.0,3.0,0,1,0.029999995604157448,True,ADVANCE,12,1022.8734649112389,9.352037408149632,False,False
BR-06,153,10,2,10,2,0.0,3.0,0,1,0.029999995604157448,True,ADVANCE,7,1000.0,9.418837675350701,False,False
BR-06,154,10,3,10,3,0.0,3.0,0,1,0.019499973859637976,True,ADVANCE,6,1011.7436284570214,9.48563794255177,False,False
BR-06,155,10,4,10,4,0.0,3.0,0,1,0.021099986042827368,True,ADVANCE,6,1000.0,9.55243820975284,False,False
BR-06,156,9,4,9,4,-3.0,0.0,-1,0,0.0198000343516469,True,ADVANCE,9,1211.8496934239954,9.619238476953909,False,False
BR-06,157,9,5,9,5,0.0,3.0,0,1,0.022099993657320738,True,ADVANCE,10,1441.9177913467624,9.686038744154976,False,False
BR-06,158,8,5,8,5,-3.0,0.0,-1,0,0.019300030544400215,True,ADVANCE,8,1441.9177913467624,9.752839011356047,False,False
BR-06,159,8,6,8,6,0.0,3.0,0,1,0.01999997766688466,True,ADVANCE,5,1000.0,9.819639278557114,False,False
BR-06,160,7,6,7,6,-3.0,0.0,-1,0,0.020299979951232672,True,ADVANCE,11,1641.1803884299545,9.886439545758183,False,False
BR-06,161,7,7,7,7,0.0,3.0,0,1,0.02440001117065549,True,ADVANCE,15,1000.0,9.953239812959252,False,False
BR-06,162,8,7,8,7,3.0,0.0,1,0,0.02239999594166875,True,ADVANCE,7,1018.3156388887342,10.02004008016032,False,False
BR-06,163,8,8,8,8,0.0,3.0,0,1,0.019600032828748226,True,ADVANCE,8,1441.9177913467624,10.08684034736139,False,False
BR-06,164,9,8,9,8,3.0,0.0,1,0,0.019200029782950878,True,ADVANCE,11,1441.9177913467624,10.153640614562457,False,False
BR-06,165,9,7,9,7,0.0,-3.0,0,-1,0.021499989088624716,True,ADVANCE,6,1000.0,10.220440881763528,False,False
BR-06,166,9,6,9,6,0.0,-3.0,0,-1,0.01939997309818864,True,ADVANCE,7,1000.0,10.287241148964595,False,False
BR-06,167,9,6,10,6,3.0,0.0,0,0,0.024800014216452837,False,WAIT,12,1800.7374029168082,10.287241148964595,True,True
BR-06,168,10,6,10,6,3.0,0.0,1,0,0.01939997309818864,True,ADVANCE,9,1000.0,10.354041416165664,False,False
BR-06,169,10,5,10,5,0.0,-3.0,0,-1,0.02039998071268201,True,ADVANCE,9,1800.7374029168082,10.420841683366733,False,False
BR-06,170,11,5,11,5,3.0,0.0,1,0,0.019400031305849552,True,ADVANCE,10,1641.1803884299545,10.487641950567802,False,False
BR-06,171,11,4,11,4,0.0,-3.0,0,-1,0.019600032828748226,True,ADVANCE,4,1000.0,10.554442217768871,False,False
BR-06,172,11,3,11,3,0.0,-3.0,0,-1,0.02050003968179226,True,ADVANCE,13,1800.7374029168082,10.62124248496994,False,False
BR-06,173,11,2,11,2,0.0,-3.0,0,-1,0.019199971575289965,True,ADVANCE,8,1800.7374029168082,10.68804275217101,False,False
BR-06,174,11,1,11,1,0.0,-3.0,0,-1,0.019200029782950878,True,ADVANCE,8,1000.0,10.754843019372078,False,False
BR-06,175,11,0,11,0,0.0,-3.0,0,-1,0.019900035113096237,True,ADVANCE,6,1129.9303907247136,10.821643286573146,False,False
BR-06,176,12,0,12,0,3.0,0.0,1,0,0.019199971575289965,True,ADVANCE,11,1453.661419803784,10.888443553774215,False,False
BR-06,177,12,1,12,1,0.0,3.0,0,1,0.018199963960796595,True,ADVANCE,3,1000.0,10.955243820975284,False,False
BR-06,178,12,2,12,2,0.0,3.0,0,1,0.019199971575289965,True,ADVANCE,9,1000.0,11.022044088176353,False,False
BR-06,179,12,3,12,3,0.0,3.0,0,1,0.020199979189783335,True,ADVANCE,11,1000.0,11.088844355377422,False,False
BR-06,180,12,4,12,4,0.0,3.0,0,1,0.05929998587816954,True,ADVANCE,6,1800.7374029168082,11.15564462257849,False,False
BR-06,181,13,4,13,4,3.0,0.0,1,0,0.032400013878941536,True,ADVANCE,5,1000.0,11.22244488977956,False,False
BR-06,182,13,3,13,3,0.0,-3.0,0,-1,0.026799971237778664,True,ADVANCE,13,1441.9177913467624,11.289245156980627,False,False
BR-06,183,13,2,13,2,0.0,-3.0,0,-1,0.02540001878514886,True,ADVANCE,14,1067.381626734864,11.356045424181696,False,False
BR-06,184,13,1,13,1,0.0,-3.0,0,-1,0.02429995220154524,True,ADVANCE,13,1800.7374029168082,11.422845691382765,False,False
BR-06,185,13,0,13,0,0.0,-3.0,0,-1,0.021599989850074053,True,ADVANCE,9,1282.360776859909,11.489645958583834,False,False
BR-06,186,14,0,14,0,3.0,0.0,1,0,0.01999997766688466,True,ADVANCE,5,1000.0,11.556446225784903,False,False
BR-06,187,14,1,14,1,0.0,3.0,0,1,0.018799968529492617,True,ADVANCE,11,1800.7374029168082,11.623246492985972,False,False
BR-06,188,14,2,14,2,0.0,3.0,0,1,0.019899976905435324,True,ADVANCE,8,1000.0,11.690046760187041,False,False
BR-06,189,14,3,14,3,0.0,3.0,0,1,0.020499981474131346,True,ADVANCE,10,1800.7374029168082,11.75684702738811,False,False
BR-06,190,14,4,14,4,0.0,3.0,0,1,0.019300030544400215,True,ADVANCE,8,1000.0,11.823647294589177,False,False
BR-06,191,14,5,14,5,0.0,3.0,0,1,0.018900027498602867,True,ADVANCE,7,1441.9177913467624,11.890447561790248,False,False
BR-06,192,13,5,13,5,-3.0,0.0,-1,0,0.020700041204690933,True,ADVANCE,13,1441.9177913467624,11.957247828991315,False,False
BR-06,193,13,6,13,6,0.0,3.0,0,1,0.020400038920342922,True,ADVANCE,14,1800.7374029168082,12.024048096192384,False,False
BR-06,194,13,7,13,7,0.0,3.0,0,1,0.019200029782950878,True,ADVANCE,5,1000.0,12.090848363393453,False,False
BR-06,195,12,7,12,7,-3.0,0.0,-1,0,0.019799976143985987,True,ADVANCE,8,1641.1803884299545,12.157648630594522,False,False
BR-06,196,12,8,11,7,-3.0,0.0,0,1,0.03439997090026736,True,ADVANCE,6,1018.3156388887342,12.224448897795591,False,True
BR-06,197,11,8,11,8,-3.0,0.0,-1,0,0.02039998071268201,True,ADVANCE,4,1000.0,12.291249164996659,False,False
BR-06,198,10,8,10,8,-3.0,0.0,-1,0,0.019900035113096237,True,ADVANCE,10,2000.0,12.35804943219773,False,False
BR-06,199,10,7,10,7,0.0,-3.0,0,-1,0.019499973859637976,True,ADVANCE,9,1129.9303907247136,12.424849699398797,False,False
BR-06,200,11,7,11,7,3.0,0.0,1,0,0.020099978428333998,True,ADVANCE,10,1641.1803884299545,12.491649966599866,False,False
BR-06,201,11,6,11,6,0.0,-3.0,0,-1,0.019799976143985987,True,ADVANCE,9,1441.9177913467624,12.558450233800937,False,False
BR-06,202,11,7,11,9,0.0,9.0,0,1,0.019600032828748226,True,ADVANCE,7,1000.0,12.558450233800937,False,False
